id,name,full_name,legal_person,manager
002333.OF,汇丰晋信沪港深C,汇丰晋信沪港深股票型证券投资基金,汇丰晋信基金,程彧
002334.OF,汇丰晋信大盘波动股票A,汇丰晋信大盘波动精选股票型证券投资基金,汇丰晋信基金,方磊、何喆
002335.OF,汇丰晋信大盘波动股票C,汇丰晋信大盘波动精选股票型证券投资基金,汇丰晋信基金,方磊、何喆
002336.OF,创金合信尊享纯债,创金合信尊享纯债债券型证券投资基金,创金合信基金,郑振源
002337.OF,创金合信季安鑫3个月A,创金合信季安鑫3个月持有期债券型证券投资基金,创金合信基金,王一兵、黄佳祥
002338.OF,兴业优债增利债券A,兴业优债增利债券型证券投资基金,兴业基金,丁进
002339.OF,海富通安颐收益混合C,海富通安颐收益混合型证券投资基金,海富通基金,杜晓海、夏妍妍
002340.OF,富国价值优势混合,富国价值优势混合型证券投资基金,富国基金,孙彬
002341.OF,招商招瑞纯债发起式A,招商招瑞纯债债券型发起式证券投资基金,招商基金,刘万锋
002342.OF,融通增益债券A/B,融通增益债券型证券投资基金,融通基金,王超
002344.OF,融通增益债券C,融通增益债券型证券投资基金,融通基金,王超
002345.OF,华夏高端制造混合,华夏高端制造灵活配置混合型证券投资基金,华夏基金,吴昊
002350.OF,华安安华灵活配置混合,华安安华灵活配置混合型证券投资基金,华安基金,刘畅畅
002351.OF,易方达裕祥回报债券,易方达裕祥回报债券型证券投资基金,易方达基金,林森、林虎
002354.OF,博时裕腾纯债,博时裕腾纯债债券型证券投资基金,博时基金,李秋实
002356.OF,博时安泰18个月定期开放债券A,博时安泰18个月定期开放债券型证券投资基金,博时基金,程卓
002357.OF,博时安泰18个月定期开放债券C,博时安泰18个月定期开放债券型证券投资基金,博时基金,程卓
002358.OF,国投瑞银瑞祥A,国投瑞银瑞祥灵活配置混合型证券投资基金,国投瑞银基金,桑俊
002360.OF,前海开源清洁能源混合C,前海开源清洁能源主题精选灵活配置混合型证券投资基金,前海开源基金,杨德龙
002361.OF,国富恒瑞债券A,富兰克林国海恒瑞债券型证券投资基金,国海富兰克林基金,赵晓东
002362.OF,国富恒瑞债券C,富兰克林国海恒瑞债券型证券投资基金,国海富兰克林基金,赵晓东
002363.OF,华安安康灵活配置混合A,华安安康灵活配置混合型证券投资基金,华安基金,石雨欣、陆奔
002364.OF,华安安康灵活配置混合C,华安安康灵活配置混合型证券投资基金,华安基金,石雨欣、陆奔
002367.OF,国联安安稳混合,国联安安稳灵活配置混合型证券投资基金,国联安基金,邹新进
002376.OF,国寿安保核心产业混合,国寿安保核心产业灵活配置混合型证券投资基金,国寿安保基金,李丹
002377.OF,建信睿怡纯债A,建信睿怡纯债债券型证券投资基金,建信基金,闫晗
002378.OF,建信弘利灵活配置混合,建信弘利灵活配置混合型证券投资基金,建信基金,吴尚伟
002379.OF,工银香港中小盘(QDII)人民币,工银瑞信香港中小盘股票型证券投资基金(QDII),工银瑞信基金,单文(代)、赵宪成(休)
002380.OF,工银香港中小盘(QDII)美元,工银瑞信香港中小盘股票型证券投资基金(QDII),工银瑞信基金,单文(代)、赵宪成(休)
002381.OF,东海祥瑞A,东海祥瑞债券型证券投资基金,东海基金,祝鸿玲
002382.OF,东海祥瑞C,东海祥瑞债券型证券投资基金,东海基金,祝鸿玲
002383.OF,大成趋势回报灵活配置混合,大成趋势回报灵活配置混合型证券投资基金,大成基金,黄万青、李富强
002384.OF,九泰鸿祥服务升级混合,九泰鸿祥服务升级灵活配置混合型证券投资基金,九泰基金,李响
002385.OF,博时沪深300指数C,博时裕富沪深300指数证券投资基金,博时基金,桂征辉、杨振建
002387.OF,工银沪港深股票A,工银瑞信沪港深股票型证券投资基金,工银瑞信基金,单文(代)、赵宪成(休)
002388.OF,天弘裕利灵活配置混合A,天弘裕利灵活配置混合型证券投资基金,天弘基金,张寓、彭玮
002389.OF,招商安德灵活配置混合A,招商安德灵活配置混合型证券投资基金,招商基金,王刚
002390.OF,招商安德灵活配置混合C,招商安德灵活配置混合型证券投资基金,招商基金,王刚
002391.OF,华安全球美元收益债券(QDII)人民币A,华安全球美元收益债券型证券投资基金,华安基金,庄宇飞
002392.OF,华安全球美元收益债券(QDII)美元现汇A,华安全球美元收益债券型证券投资基金,华安基金,庄宇飞
002393.OF,华安全球美元收益债券(QDII)C,华安全球美元收益债券型证券投资基金,华安基金,庄宇飞
002395.OF,鹏华丰尚定期开放债券A,鹏华丰尚定期开放债券型证券投资基金,鹏华基金,戴钢
002396.OF,鹏华丰尚定期开放债券B,鹏华丰尚定期开放债券型证券投资基金,鹏华基金,戴钢
002398.OF,华安安禧混合A,华安安禧灵活配置混合型证券投资基金,华安基金,朱才敏、舒灏
002399.OF,华安安禧混合C,华安安禧灵活配置混合型证券投资基金,华安基金,朱才敏、舒灏
002400.OF,南方亚洲美元债(QDII)人民币A,南方亚洲美元收益债券型证券投资基金,南方基金,苏炫纲
002401.OF,南方亚洲美元债(QDII)人民币C,南方亚洲美元收益债券型证券投资基金,南方基金,苏炫纲
002402.OF,南方亚洲美元债(QDII)美元现汇A,南方亚洲美元收益债券型证券投资基金,南方基金,苏炫纲
002403.OF,南方亚洲美元债(QDII)美元现汇C,南方亚洲美元收益债券型证券投资基金,南方基金,苏炫纲
002404.OF,博时裕乾纯债C,博时裕乾纯债债券型证券投资基金,博时基金,李秋实
002405.OF,光大保德信中高等级债券A,光大保德信中高等级债券型证券投资基金,光大保德信基金管理,黄波
002406.OF,光大保德信中高等级债券C,光大保德信中高等级债券型证券投资基金,光大保德信基金管理,黄波
002407.OF,前海开源恒远灵活配置混合,前海开源恒远灵活配置混合型证券投资基金,前海开源基金,邱杰
002408.OF,中信建投医改A,中信建投医改灵活配置混合型证券投资基金,中信建投基金,谢玮
002409.OF,华夏新活力混合A,华夏新活力灵活配置混合型证券投资基金,华夏基金,陈伟彦
002410.OF,华夏新活力混合C,华夏新活力灵活配置混合型证券投资基金,华夏基金,陈伟彦
002411.OF,华夏新机遇混合A,华夏新机遇灵活配置混合型证券投资基金,华夏基金,董阳阳
002412.OF,华富安福债券,华富安福债券型证券投资基金,华富基金,张惠
002413.OF,中银瑞利混合A,中银瑞利灵活配置混合型证券投资基金,中银基金,苗婷
002414.OF,中银瑞利混合C,中银瑞利灵活配置混合型证券投资基金,中银基金,苗婷
002415.OF,融通通盈灵活配置混合,融通通盈灵活配置混合型证券投资基金,融通基金,张一格
002416.OF,招商丰利灵活配置混合C,招商丰利灵活配置混合型证券投资基金,招商基金,贾仁栋
002417.OF,招商丰盛稳定增长混合C,招商丰盛稳定增长灵活配置混合型证券投资基金,招商基金,王奇玮
002418.OF,汇添富优选回报灵活配置混合C,汇添富优选回报灵活配置混合型证券投资基金,汇添富基金,赖中立
002419.OF,汇添富盈安灵活配置混合,汇添富盈安灵活配置混合型证券投资基金,汇添富基金,马翔、沈若雨
002420.OF,汇添富盈鑫混合,汇添富盈鑫灵活配置混合型证券投资基金,汇添富基金,赵鹏程
002421.OF,新华增强债券A,新华增强债券型证券投资基金,新华基金,李洁(休产假)
002422.OF,新华增强债券C,新华增强债券型证券投资基金,新华基金,李洁(休产假)
002423.OF,华宝标普美国消费美元(QDII-LOF),华宝标普美国品质消费股票指数证券投资基金(LOF),华宝基金,周晶、杨洋
002424.OF,博时文体娱乐主题混合,博时文体娱乐主题混合型证券投资基金,博时基金,蒋娜
002425.OF,金鹰元禧混合C,金鹰元禧混合型证券投资基金,金鹰基金,戴骏、杨晓斌
002426.OF,华安全球美元票息债券(QDII)人民币A,华安全球美元票息债券型证券投资基金,华安基金,庄宇飞
002427.OF,华安全球美元票息债券(QDII)美元现汇A,华安全球美元票息债券型证券投资基金,华安基金,庄宇飞
002429.OF,华安全球美元票息债券(QDII)C,华安全球美元票息债券型证券投资基金,华安基金,庄宇飞
002430.OF,中银丰利混合A,中银丰利灵活配置混合型证券投资基金,中银基金,杨成
002431.OF,中银丰利混合C,中银丰利灵活配置混合型证券投资基金,中银基金,杨成
